curr_state	curr_action	next_reward	next_state	old_value	new_value
391	0	0	519	0.0	0.0
519	1	0	640	0.0	0.0
640	1	0	769	0.0	0.0
769	-1	0	904	0.0	0.0
904	1	0	1033	0.0	0.0
1033	0	0	1169	0.0	0.0
1169	1	0	1306	0.0	0.0
1306	1	0	1315	0.0	0.0
1315	0	0	1195	0.0	0.0
1195	1	0	1076	0.0	0.0
1076	1	0	949	0.0	0.0
949	1	0	814	0.0	0.0
814	-1	0	805	0.0	0.0
805	-1	0	668	0.0	0.0
668	0	0	540	0.0	0.0
540	-1	0	411	0.0	0.0
411	-1	0	290	0.0	0.0
290	1	0	299	0.0	0.0
299	0	0	179	0.0	0.0
179	-1	0	58	0.0	0.0
58	-1	0	65	0.0	0.0
65	-1	0	200	0.0	0.47829690000000014
200	-1	0	335	0.5314410000000002	0.5314410000000002
335	-1	0	454	0.0	0.0
454	1	0	447	0.0	0.0
447	-1	0	566	0.0	0.0
566	0	0	558	0.0	0.0
558	1	0	551	0.0	0.0
551	0	0	671	0.0	0.0
671	0	0	791	0.0	0.0
791	-1	0	910	0.0	0.0
910	1	0	903	0.0	0.0
903	1	0	1024	0.0	0.0
1024	-1	0	1159	0.0	0.0
1159	-1	0	1286	0.0	0.0
1286	0	0	1286	0.0	0.0
1286	0	0	1286	0.0	0.0
1286	0	0	1286	0.0	0.0
1286	1	0	1287	0.0	0.0
1287	0	0	1415	0.0	0.0
1415	-1	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	-1	0	1541	0.0	0.0
1541	1	0	1414	0.0	0.0
1414	-1	0	1413	0.0	0.0
1413	-1	0	1284	0.0	0.0
1284	-1	0	1155	0.0	0.0
1155	0	0	1035	0.0	0.0
1035	0	0	915	0.0	0.0
915	0	0	795	0.0	0.5314410000000002
795	-1	0	674	0.5904900000000002	0.5904900000000002
674	-1	0	681	0.0	0.0
681	1	0	818	0.0	0.0
818	-1	0	825	0.0	0.0
825	0	0	961	0.0	0.0
961	-1	0	1096	0.0	0.0
1096	1	0	1225	0.0	0.0
1225	-1	0	1360	0.0	0.0
1360	-1	0	1495	0.0	0.0
1495	1	0	1608	0.0	0.0
1608	1	0	1737	0.0	0.0
1737	-1	0	1872	0.0	0.0
1872	-1	0	2007	0.0	0.0
2007	1	0	1992	0.0	0.0
1992	1	0	1993	0.0	0.0
1993	-1	0	2000	0.0	0.0
2000	-1	0	2007	0.0	0.0
2007	1	0	1992	0.0	0.0
1992	1	0	1993	0.0	0.0
1993	-1	0	2000	0.0	0.0
2000	0	0	2000	0.0	0.0
2000	-1	0	2007	0.0	0.0
2007	1	0	1992	0.0	0.0
1992	-1	0	1999	0.0	0.0
1999	1	0	1984	0.0	0.0
1984	0	0	1984	0.0	0.0
1984	-1	0	1991	0.0	0.0
1991	0	0	1983	0.0	0.0
1983	1	0	1968	0.0	0.0
1968	0	0	1968	0.0	0.0
1968	0	0	1968	0.0	0.0
1968	1	0	1969	0.0	0.0
1969	1	0	1978	0.0	0.0
1978	1	0	1987	0.0	0.0
1987	0	0	1867	0.0	0.0
1867	1	0	1748	0.0	0.0
1748	1	0	1621	0.0	0.0
1621	1	0	1486	0.0	0.0
1486	0	0	1478	0.0	0.0
1478	0	0	1470	0.0	0.0
1470	1	0	1463	0.0	0.0
1463	1	0	1576	0.0	0.0
1576	-1	0	1711	0.0	0.0
1711	-1	0	1830	0.0	0.0
1830	-1	0	1821	0.0	0.0
1821	1	0	1686	0.0	0.0
1686	0	0	1678	0.0	0.0
1678	0	0	1670	0.0	0.0
1670	1	0	1671	0.0	0.0
1671	-1	0	1798	0.0	0.0
1798	-1	0	1797	0.0	0.0
1797	1	0	1670	0.0	0.0
1670	-1	0	1669	0.0	0.0
1669	1	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	-1	0	1541	0.0	0.0
1541	-1	0	1412	0.0	0.0
1412	-1	0	1283	0.0	0.0
1283	0	0	1163	0.0	0.0
1163	0	0	1043	0.0	0.0
1043	-1	0	922	0.0	0.0
922	1	0	931	0.0	0.0
931	-1	0	810	0.0	0.0
810	1	0	819	0.0	0.0
819	-1	0	698	0.0	0.0
698	-1	0	705	0.0	0.0
705	-1	0	840	0.0	0.0
840	-1	0	975	0.0	0.0
975	1	1	1088	0.0	1.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	0	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	-1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
1088	1	0	1088	0.0	0.0
