curr_state	curr_action	next_reward	next_state	old_value	new_value
1023	-1	0	1142	0.0	0.0
1142	1	0	1135	0.0	0.0
1135	-1	0	1254	0.0	0.0
1254	-1	0	1245	0.0	0.0
1245	-1	0	1108	0.0	0.0
1108	-1	0	979	0.0	0.0
979	-1	0	858	0.0	0.0
858	-1	0	865	0.0	0.0
865	0	0	1001	0.0	0.0
1001	0	0	1137	0.0	0.0
1137	-1	0	1272	0.0	0.0
1272	-1	0	1407	0.0	0.0
1407	-1	0	1526	0.0	0.0
1526	0	0	1518	0.0	0.0
1518	-1	0	1509	0.0	0.0
1509	0	0	1373	0.0	0.0
1373	-1	0	1236	0.0	0.0
1236	-1	0	1107	0.0	0.0
1107	0	0	987	0.0	0.0
987	-1	0	866	0.0	0.0
866	0	0	874	0.0	0.0
874	-1	0	881	0.0	0.0
881	-1	0	1016	0.0	0.0
1016	-1	0	1151	0.0	0.0
1151	-1	0	1270	0.0	0.0
1270	0	0	1262	0.0	0.0
1262	-1	0	1253	0.0	0.0
1253	-1	0	1116	0.0	0.0
1116	1	0	989	0.0	0.0
989	-1	0	852	0.0	0.0
852	0	0	724	0.0	0.0
724	-1	0	595	0.0	0.0
595	-1	0	474	0.0	0.0
474	-1	0	481	0.0	0.0
481	-1	0	616	0.0	0.0
616	-1	0	751	0.0	0.0
751	-1	0	870	0.0	0.0
870	-1	0	861	0.0	0.0
861	1	0	726	0.0	0.0
726	0	0	718	0.0	0.0
718	1	0	711	0.0	0.0
711	-1	0	830	0.0	0.0
830	0	0	822	0.0	0.0
822	-1	0	813	0.0	0.0
813	1	0	678	0.0	0.0
678	-1	0	669	0.0	0.0
669	-1	0	532	0.0	0.0
532	-1	0	403	0.0	0.0
403	-1	0	282	0.0	0.0
282	-1	0	289	0.0	0.0
289	0	0	425	0.0	0.0
425	-1	0	560	0.0	0.0
560	-1	0	695	0.0	0.0
695	0	0	815	0.0	0.0
815	-1	0	934	0.0	0.0
934	-1	0	925	0.0	0.0
925	-1	0	788	0.0	0.0
788	-1	0	659	0.0	0.0
659	0	0	539	0.0	0.0
539	0	0	419	0.0	0.0
419	1	0	300	0.0	0.0
300	-1	0	171	0.0	0.0
171	-1	0	50	0.0	0.0
50	-1	0	57	0.0	0.0
57	1	0	194	0.0	0.0
194	-1	0	201	0.0	0.0
201	-1	0	336	0.0	0.0
336	-1	0	471	0.0	0.0
471	-1	0	590	0.0	0.0
590	-1	0	581	0.0	0.0
581	1	0	446	0.0	0.0
446	-1	0	437	0.0	0.0
437	-1	0	300	0.0	0.0
300	-1	0	171	0.0	0.0
171	-1	0	50	0.0	0.0
50	-1	0	57	0.0	0.0
57	-1	0	192	0.0	0.0
192	-1	0	327	0.0	0.0
327	1	0	440	0.0	0.0
440	-1	0	575	0.0	0.0
575	-1	0	694	0.0	0.0
694	1	0	687	0.0	0.0
687	1	0	800	0.0	0.0
800	-1	0	935	0.0	0.0
935	-1	0	1054	0.0	0.0
1054	-1	0	1045	0.0	0.0
1045	1	0	910	0.0	0.0
910	-1	0	901	0.0	0.0
901	-1	0	772	0.0	0.0
772	1	0	645	0.0	0.0
645	-1	0	516	0.0	0.0
516	-1	0	387	0.0	0.0
387	0	0	267	0.0	0.0
267	-1	0	146	0.0	0.0
146	-1	0	153	0.0	0.0
153	-1	0	288	0.0	0.0
288	1	0	417	0.0	0.0
417	-1	0	552	0.0	0.0
552	-1	0	687	0.0	0.0
687	1	0	800	0.0	0.0
800	1	0	929	0.0	0.0
929	-1	0	1064	0.0	0.0
1064	0	0	1192	0.0	0.0
1192	-1	0	1327	0.0	0.0
1327	-1	0	1446	0.0	0.0
1446	-1	0	1437	0.0	0.0
1437	0	0	1301	0.0	0.0
1301	-1	0	1164	0.0	0.0
1164	-1	0	1035	0.0	0.0
1035	-1	0	914	0.0	0.0
914	-1	0	921	0.0	0.0
921	-1	0	1056	0.0	0.0
1056	1	0	1185	0.0	0.0
1185	0	0	1321	0.0	0.0
1321	-1	0	1456	0.0	0.0
1456	0	0	1584	0.0	0.0
1584	-1	0	1719	0.0	0.0
1719	1	0	1832	0.0	0.0
1832	-1	0	1967	0.0	0.0
1967	-1	0	1958	0.0	0.0
1958	-1	0	1949	0.0	0.0
1949	-1	0	1812	0.0	0.0
1812	-1	0	1683	0.0	0.0
1683	1	0	1564	0.0	0.0
1564	-1	0	1435	0.0	0.0
1435	-1	0	1314	0.0	0.0
1314	-1	0	1321	0.0	0.0
1321	-1	0	1456	0.0	0.0
1456	-1	0	1591	0.0	0.0
1591	-1	0	1710	0.0	0.0
1710	-1	0	1701	0.0	0.0
1701	1	0	1566	0.0	0.0
1566	-1	0	1557	0.0	0.0
1557	1	0	1422	0.0	0.0
1422	1	0	1415	0.0	0.0
1415	-1	0	1542	0.0	0.0
1542	-1	0	1541	0.0	0.0
1541	-1	0	1412	0.0	0.0
1412	-1	0	1283	0.0	0.0
1283	0	0	1163	0.0	0.0
1163	-1	0	1042	0.0	0.0
1042	-1	0	1049	0.0	0.0
1049	-1	0	1184	0.0	0.0
1184	-1	0	1319	0.0	0.0
1319	-1	0	1438	0.0	0.0
1438	-1	0	1429	0.0	0.0
1429	1	0	1294	0.0	0.0
1294	-1	0	1285	0.0	0.0
1285	-1	0	1156	0.0	0.0
1156	1	0	1029	0.0	0.0
1029	-1	0	900	0.0	0.0
900	-1	0	771	0.0	0.0
771	0	0	651	0.0	0.0
651	-1	0	530	0.0	0.0
530	1	0	539	0.0	0.0
539	0	0	419	0.0	0.0
419	1	0	300	0.0	0.0
300	-1	0	171	0.0	0.0
171	-1	0	50	0.0	0.0
50	-1	0	57	0.0	0.0
57	0	0	193	0.0	0.0
193	0	0	329	0.0	0.0
329	0	0	465	0.0	0.0
465	0	0	601	0.0	0.0
601	-1	0	736	0.0	0.0
736	-1	0	871	0.0	0.0
871	-1	0	990	0.0	0.0
990	-1	0	981	0.0	0.0
981	-1	0	844	0.0	0.0
844	-1	0	715	0.0	0.0
715	0	0	595	0.0	0.0
595	1	0	476	0.0	0.0
476	1	0	349	0.0	0.0
349	-1	0	212	0.0	0.0
212	-1	0	83	0.0	0.0
83	1	0	92	0.0	0.0
92	-1	0	91	0.0	0.0
91	-1	0	98	0.0	0.0
98	-1	0	105	0.0	0.0
105	-1	0	240	0.0	0.0
240	-1	0	375	0.0	0.0
375	0	0	495	0.0	0.0
495	-1	0	614	0.0	0.0
614	-1	0	605	0.0	0.0
605	1	0	470	0.0	0.0
470	-1	0	461	0.0	0.0
461	-1	0	324	0.0	0.0
324	1	0	197	0.0	0.0
197	-1	0	60	0.0	0.0
60	-1	0	59	0.0	0.0
59	-1	0	66	0.0	0.0
66	0	0	74	0.0	0.0
74	-1	0	81	0.0	0.0
81	-1	0	216	0.0	0.0
216	-1	0	351	0.0	0.0
351	-1	0	470	0.0	0.0
470	-1	0	461	0.0	0.0
461	-1	0	324	0.0	0.0
324	-1	0	195	0.0	0.0
195	-1	0	74	0.0	0.0
74	-1	0	81	0.0	0.0
81	-1	0	216	0.0	0.0
216	-1	0	351	0.0	0.0
351	-1	0	470	0.0	0.0
470	-1	0	461	0.0	0.0
461	1	0	326	0.0	0.0
326	1	0	319	0.0	0.0
319	-1	0	438	0.0	0.0
438	-1	0	429	0.0	0.0
429	-1	0	292	0.0	0.0
292	-1	0	163	0.0	0.0
163	-1	0	42	0.0	0.0
42	-1	0	49	0.0	0.0
49	-1	0	184	0.0	0.0
184	-1	0	319	0.0	0.0
319	-1	0	438	0.0	0.0
438	-1	0	429	0.0	0.0
429	-1	0	292	0.0	0.0
292	-1	0	163	0.0	0.0
163	-1	0	42	0.0	0.0
42	0	0	50	0.0	0.0
50	0	0	58	0.0	0.0
58	-1	0	65	0.0	0.0
65	-1	0	200	0.0	0.0
200	-1	0	335	0.0	0.0
335	-1	0	454	0.0	0.0
454	1	0	447	0.0	0.0
447	-1	0	566	0.0	0.0
566	-1	0	557	0.0	0.0
557	-1	0	420	0.0	0.0
420	-1	0	291	0.0	0.0
291	1	0	172	0.0	0.0
172	-1	0	43	0.0	0.0
43	-1	0	50	0.0	0.0
50	-1	0	57	0.0	0.0
57	-1	0	192	0.0	0.0
192	-1	0	327	0.0	0.0
327	-1	0	446	0.0	0.0
446	-1	0	437	0.0	0.0
437	1	0	302	0.0	0.0
302	-1	0	293	0.0	0.0
293	1	0	158	0.0	0.0
158	-1	0	149	0.0	0.0
149	-1	0	12	0.0	0.0
12	-1	0	11	0.0	0.0
11	0	0	19	0.0	0.0
19	-1	0	26	0.0	0.0
26	-1	0	33	0.0	0.0
33	-1	0	168	0.0	0.0
168	-1	0	303	0.0	0.0
303	-1	0	422	0.0	0.0
422	1	0	415	0.0	0.0
415	0	0	535	0.0	0.0
535	0	0	655	0.0	0.0
655	0	0	775	0.0	0.0
775	-1	0	902	0.0	0.0
902	-1	0	901	0.0	0.0
901	-1	0	772	0.0	0.0
772	-1	0	643	0.0	0.0
643	-1	0	522	0.0	0.0
522	-1	0	529	0.0	0.0
529	-1	0	664	0.0	0.0
664	-1	0	799	0.0	0.0
799	1	0	912	0.0	0.0
912	0	0	1040	0.0	0.0
1040	-1	0	1175	0.0	0.0
1175	-1	0	1294	0.0	0.0
1294	0	0	1286	0.0	0.0
1286	0	0	1286	0.0	0.0
1286	0	0	1286	0.0	0.0
1286	-1	0	1285	0.0	0.0
1285	1	0	1158	0.0	0.0
1158	-1	0	1157	0.0	0.0
1157	-1	0	1028	0.0	0.0
1028	-1	0	899	0.0	0.0
899	-1	0	778	0.0	0.0
778	-1	0	785	0.0	0.0
785	-1	0	920	0.0	0.0
920	-1	0	1055	0.0	0.0
1055	-1	0	1174	0.0	0.0
1174	0	0	1166	0.0	0.0
1166	1	0	1159	0.0	0.0
1159	-1	0	1286	0.0	0.0
1286	-1	0	1285	0.0	0.0
1285	-1	0	1156	0.0	0.0
1156	-1	0	1027	0.0	0.0
1027	-1	0	906	0.0	0.0
906	-1	0	913	0.0	0.0
913	-1	0	1048	0.0	0.0
1048	1	0	1177	0.0	0.0
1177	0	0	1313	0.0	0.0
1313	-1	0	1448	0.0	0.0
1448	-1	0	1583	0.0	0.0
1583	-1	0	1702	0.0	0.0
1702	-1	0	1693	0.0	0.0
1693	-1	0	1556	0.0	0.0
1556	1	0	1429	0.0	0.0
1429	-1	0	1292	0.0	0.0
1292	-1	0	1163	0.0	0.0
1163	0	0	1043	0.0	0.0
1043	-1	0	922	0.0	0.0
922	-1	0	929	0.0	0.0
929	0	0	1065	0.0	0.0
1065	-1	0	1200	0.0	0.0
1200	1	0	1329	0.0	0.0
1329	-1	0	1464	0.0	0.0
1464	-1	0	1599	0.0	0.0
1599	0	0	1719	0.0	0.0
1719	1	0	1832	0.0	0.0
1832	-1	0	1967	0.0	0.0
1967	-1	0	1958	0.0	0.0
1958	-1	0	1949	0.0	0.0
1949	1	0	1814	0.0	0.0
1814	-1	0	1805	0.0	0.0
1805	0	0	1669	0.0	0.0
1669	-1	0	1540	0.0	0.0
1540	0	0	1412	0.0	0.0
1412	-1	0	1283	0.0	0.0
1283	-1	0	1162	0.0	0.0
1162	0	0	1170	0.0	0.0
1170	-1	0	1177	0.0	0.0
1177	0	0	1313	0.0	0.0
1313	-1	0	1448	0.0	0.0
1448	-1	0	1583	0.0	0.0
1583	0	0	1703	0.0	0.0
1703	-1	0	1822	0.0	0.0
1822	-1	0	1813	0.0	0.0
1813	-1	0	1676	0.0	0.0
1676	-1	0	1547	0.0	0.0
1547	-1	0	1426	0.0	0.0
1426	1	0	1435	0.0	0.0
1435	-1	0	1314	0.0	0.0
1314	0	0	1322	0.0	0.0
1322	0	0	1330	0.0	0.0
1330	1	0	1339	0.0	0.0
1339	-1	0	1218	0.0	0.0
1218	1	0	1227	0.0	0.0
1227	1	0	1108	0.0	0.0
1108	-1	0	979	0.0	0.0
979	-1	0	858	0.0	0.0
858	-1	0	865	0.0	0.0
865	-1	0	1000	0.0	0.0
1000	-1	0	1135	0.0	0.0
1135	-1	0	1254	0.0	0.0
1254	-1	0	1245	0.0	0.0
1245	-1	0	1108	0.0	0.0
1108	-1	0	979	0.0	0.0
979	-1	0	858	0.0	0.0
858	-1	0	865	0.0	0.0
865	-1	0	1000	0.0	0.0
1000	-1	0	1135	0.0	0.0
1135	1	0	1248	0.0	0.0
1248	-1	0	1383	0.0	0.0
1383	-1	0	1502	0.0	0.0
1502	-1	0	1493	0.0	0.0
1493	1	0	1358	0.0	0.0
1358	-1	0	1349	0.0	0.0
1349	-1	0	1212	0.0	0.0
1212	1	0	1085	0.0	0.0
1085	-1	0	948	0.0	0.0
948	-1	0	819	0.0	0.0
819	-1	0	698	0.0	0.0
698	-1	0	705	0.0	0.0
705	-1	0	840	0.0	0.0
840	1	0	969	0.0	0.0
969	-1	0	1104	0.0	0.0
1104	1	0	1233	0.0	0.0
1233	1	0	1370	0.0	0.0
1370	0	0	1378	0.0	0.0
1378	-1	0	1385	0.0	0.0
1385	1	0	1522	0.0	0.0
1522	1	0	1531	0.0	0.0
1531	-1	0	1402	0.0	0.0
1402	0	0	1402	0.0	0.0
1402	-1	0	1401	0.0	0.0
1401	0	0	1529	0.0	0.0
1529	-1	0	1656	0.0	0.0
1656	-1	0	1791	0.0	0.0
1791	0	0	1911	0.0	0.0
1911	-1	0	2030	0.0	0.0
2030	-1	0	2021	0.0	0.0
2021	-1	0	1884	0.0	0.0
1884	-1	0	1755	0.0	0.0
1755	-1	0	1634	0.0	0.0
1634	-1	0	1641	0.0	0.0
1641	-1	0	1776	0.0	0.0
1776	-1	0	1911	0.0	0.0
1911	-1	0	2030	0.0	0.0
2030	-1	0	2021	0.0	0.0
2021	-1	0	1884	0.0	0.0
1884	-1	0	1755	0.0	0.0
1755	-1	0	1634	0.0	0.0
1634	-1	0	1641	0.0	0.0
1641	-1	0	1776	0.0	0.0
1776	-1	0	1911	0.0	0.0
1911	-1	0	2030	0.0	0.0
2030	-1	0	2021	0.0	0.0
2021	-1	0	1884	0.0	0.0
1884	0	0	1756	0.0	0.0
1756	-1	0	1627	0.0	0.0
1627	1	0	1508	0.0	0.0
1508	0	0	1380	0.0	0.0
1380	-1	0	1251	0.0	0.0
1251	-1	0	1130	0.0	0.0
1130	-1	0	1137	0.0	0.0
1137	1	0	1274	0.0	0.0
1274	-1	0	1273	0.0	0.0
1273	-1	0	1400	0.0	0.0
1400	-1	0	1535	0.0	0.0
1535	1	0	1648	0.0	0.0
1648	0	0	1776	0.0	0.0
1776	-1	0	1911	0.0	0.0
1911	1	0	2024	0.0	0.0
2024	0	0	2024	0.0	0.0
2024	0	0	2024	0.0	0.0
2024	-1	0	2031	0.0	0.0
2031	-1	0	2022	0.0	0.0
2022	-1	0	2013	0.0	0.0
